step,KE,PE,total
375,1.54132e+06,-2.61775e+06,-1.07643e+06
376,1.53743e+06,-2.61348e+06,-1.07606e+06
377,1.53472e+06,-2.61058e+06,-1.07586e+06
378,1.53978e+06,-2.61347e+06,-1.07369e+06
379,1.5417e+06,-2.60682e+06,-1.06512e+06
380,1.53261e+06,-2.59792e+06,-1.06531e+06
381,1.52883e+06,-2.59417e+06,-1.06534e+06
382,1.52893e+06,-2.59501e+06,-1.06608e+06
383,1.52863e+06,-2.59463e+06,-1.066e+06
384,1.52646e+06,-2.59224e+06,-1.06578e+06
385,1.52534e+06,-2.59052e+06,-1.06518e+06
386,1.52784e+06,-2.59307e+06,-1.06522e+06
387,1.53523e+06,-2.60049e+06,-1.06526e+06
388,1.54756e+06,-2.61284e+06,-1.06527e+06
389,1.56817e+06,-2.63248e+06,-1.06431e+06
390,1.57437e+06,-2.64207e+06,-1.0677e+06
391,1.56734e+06,-2.63663e+06,-1.06928e+06
392,1.56787e+06,-2.63585e+06,-1.06799e+06
393,1.56664e+06,-2.63564e+06,-1.069e+06
394,1.56386e+06,-2.63232e+06,-1.06845e+06
395,1.56463e+06,-2.63297e+06,-1.06834e+06
396,1.56881e+06,-2.6379e+06,-1.06909e+06
397,1.57323e+06,-2.6417e+06,-1.06846e+06
398,1.57718e+06,-2.64582e+06,-1.06864e+06
399,1.58116e+06,-2.65022e+06,-1.06905e+06
400,1.58349e+06,-2.65202e+06,-1.06853e+06
401,1.58639e+06,-2.6548e+06,-1.06841e+06
402,1.59155e+06,-2.66011e+06,-1.06855e+06
403,1.59834e+06,-2.66712e+06,-1.06877e+06
404,1.60547e+06,-2.67461e+06,-1.06914e+06
405,1.61142e+06,-2.67897e+06,-1.06755e+06
406,1.61783e+06,-2.68692e+06,-1.06909e+06
407,1.61974e+06,-2.68592e+06,-1.06618e+06
408,1.61944e+06,-2.68554e+06,-1.0661e+06
409,1.6197e+06,-2.68868e+06,-1.06898e+06
410,1.61311e+06,-2.68082e+06,-1.06772e+06
411,1.60677e+06,-2.67391e+06,-1.06714e+06
412,1.60476e+06,-2.67191e+06,-1.06714e+06
413,1.60616e+06,-2.6742e+06,-1.06804e+06
414,1.60529e+06,-2.67238e+06,-1.0671e+06
415,1.60148e+06,-2.66831e+06,-1.06683e+06
416,1.60095e+06,-2.66781e+06,-1.06685e+06
417,1.60528e+06,-2.67146e+06,-1.06618e+06
418,1.61412e+06,-2.68433e+06,-1.07021e+06
419,1.61938e+06,-2.67431e+06,-1.05493e+06
420,1.61059e+06,-2.66617e+06,-1.05558e+06
421,1.60885e+06,-2.66444e+06,-1.05559e+06
422,1.61408e+06,-2.66907e+06,-1.05499e+06
423,1.61707e+06,-2.67775e+06,-1.06068e+06
424,1.61793e+06,-2.67419e+06,-1.05627e+06
425,1.62091e+06,-2.67758e+06,-1.05668e+06
426,1.63125e+06,-2.68832e+06,-1.05707e+06
427,1.64266e+06,-2.70097e+06,-1.05832e+06
428,1.65259e+06,-2.70803e+06,-1.05544e+06
429,1.66209e+06,-2.71919e+06,-1.0571e+06
430,1.66106e+06,-2.72001e+06,-1.05895e+06
431,1.65474e+06,-2.71116e+06,-1.05642e+06
432,1.64722e+06,-2.71173e+06,-1.06451e+06
433,1.64031e+06,-2.70406e+06,-1.06375e+06
434,1.63166e+06,-2.69529e+06,-1.06363e+06
435,1.62356e+06,-2.68796e+06,-1.0644e+06
436,1.62001e+06,-2.67756e+06,-1.05754e+06
437,1.61686e+06,-2.67507e+06,-1.05821e+06
438,1.6209e+06,-2.6793e+06,-1.05841e+06
439,1.6323e+06,-2.68977e+06,-1.05746e+06
440,1.63518e+06,-2.70046e+06,-1.06528e+06
441,1.63291e+06,-2.69571e+06,-1.06281e+06
442,1.63443e+06,-2.69751e+06,-1.06308e+06
443,1.64015e+06,-2.70385e+06,-1.06369e+06
444,1.64767e+06,-2.71064e+06,-1.06297e+06
445,1.65428e+06,-2.71815e+06,-1.06387e+06
446,1.66163e+06,-2.72565e+06,-1.06402e+06
447,1.67198e+06,-2.73608e+06,-1.0641e+06
448,1.68748e+06,-2.74982e+06,-1.06234e+06
449,1.69468e+06,-2.76596e+06,-1.07128e+06
450,1.69698e+06,-2.76168e+06,-1.0647e+06
451,1.70321e+06,-2.76755e+06,-1.06435e+06
452,1.71046e+06,-2.77914e+06,-1.06868e+06
453,1.71442e+06,-2.78534e+06,-1.07092e+06
454,1.71877e+06,-2.78644e+06,-1.06767e+06
455,1.72669e+06,-2.79331e+06,-1.06662e+06
456,1.72998e+06,-2.80253e+06,-1.07255e+06
457,1.73007e+06,-2.80354e+06,-1.07347e+06
458,1.73595e+06,-2.80939e+06,-1.07344e+06
459,1.74757e+06,-2.81993e+06,-1.07236e+06
460,1.77884e+06,-2.84945e+06,-1.0706e+06
