step,KE,PE,total
585,19045.6,-30342.2,-11296.6
586,18974.2,-30270.9,-11296.7
587,18921.2,-30218,-11296.9
588,18884.1,-30181.3,-11297.1
589,18860.5,-30158,-11297.5
590,18846.2,-30144.4,-11298.1
591,18835.3,-30134.2,-11298.9
592,18820.7,-30120.3,-11299.6
593,18795,-30095.2,-11300.2
594,18753,-30053.3,-11300.3
595,18693.6,-29993.4,-11299.9
596,18620.3,-29919.4,-11299.1
597,18540.1,-29838.4,-11298.3
598,18460.1,-29757.8,-11297.7
599,18385.4,-29682.8,-11297.4
600,18318.6,-29615.9,-11297.3
601,18260.1,-29557.2,-11297.1
602,18211.3,-29508.2,-11296.9
603,18174.3,-29471,-11296.7
604,18151.3,-29447.7,-11296.5
605,18145.2,-29441.4,-11296.2
606,18160.1,-29455.9,-11295.8
607,18201.6,-29496.9,-11295.2
608,18279.7,-29573.9,-11294.2
609,18411.6,-29704.4,-11292.7
610,18617.4,-29912,-11294.6
611,18853,-30173.5,-11320.5
612,18906.3,-30243.6,-11337.4
613,18722.2,-30022,-11299.8
614,18504.6,-29797.4,-11292.8
615,18363.3,-29657.1,-11293.8
616,18288.8,-29583.6,-11294.8
617,18265.3,-29560.2,-11294.9
618,18288.4,-29582.8,-11294.4
619,18364.5,-29657.7,-11293.2
620,18511,-29801.8,-11290.8
621,18762.5,-30048.8,-11286.3
622,19188.8,-30466.7,-11277.9
623,19896.2,-31175.5,-11279.3
624,20598.8,-32047.1,-11448.3
625,20427.7,-31761.2,-11333.5
626,19605.2,-30864.3,-11259.1
627,19012.2,-30279.6,-11267.4
628,18658.5,-29932.8,-11274.3
629,18442.9,-29720.9,-11278.1
630,18309.7,-29589.6,-11279.9
631,18232,-29512.6,-11280.6
632,18198,-29478.9,-11280.9
633,18203.7,-29484.5,-11280.8
634,18253,-29532.6,-11279.5
635,18366,-29641.7,-11275.7
636,18608.4,-29871.2,-11262.8
637,19152.7,-30408,-11255.3
638,19196.2,-30492.6,-11296.3
639,18731,-30023.9,-11292.9
640,18555.1,-29862.4,-11307.3
641,18498.8,-29811,-11312.2
642,18486.4,-29800.5,-11314.1
643,18491.2,-29805.8,-11314.5
644,18506.3,-29820.5,-11314.2
645,18533.9,-29847.5,-11313.6
646,18580.6,-29893.4,-11312.7
647,18657,-29968.4,-11311.4
648,18778.4,-30088.4,-11310
649,18967.9,-30274.4,-11306.5
650,19279.5,-30578.1,-11298.6
651,19826.2,-31114,-11287.8
652,20601.6,-31973.9,-11372.2
653,20661.3,-32115.3,-11454
654,19876.2,-31180.7,-11304.5
655,19186.6,-30497.4,-11310.8
656,18764.6,-30083.9,-11319.3
657,18492.1,-29815.6,-11323.6
658,18303.3,-29628.9,-11325.7
659,18166.1,-29492.8,-11326.8
660,18063.9,-29391.3,-11327.4
661,17987.8,-29315.5,-11327.7
662,17932.7,-29260.6,-11327.9
663,17895.5,-29223.6,-11328.1
664,17874.3,-29202.6,-11328.2
665,17867.5,-29196,-11328.5
666,17872.6,-29201.6,-11328.9
667,17885.7,-29215.3,-11329.6
668,17900.5,-29231,-11330.5
669,17909.1,-29240.4,-11331.3
670,17904.4,-29235.9,-11331.6
671,17883.6,-29214.8,-11331.2
672,17849.8,-29180.3,-11330.4
673,17809.7,-29139.4,-11329.7
674,17769.5,-29098.8,-11329.3
675,17732.7,-29061.8,-11329.1
676,17700.4,-29029.4,-11329
677,17672.2,-29001.3,-11329.1
678,17646.7,-28976,-11329.3
679,17622.1,-28951.4,-11329.4
680,17597.1,-28926.5,-11329.4
681,17570.9,-28900.4,-11329.5
682,17542.6,-28872.1,-11329.5
683,17511,-28840.5,-11329.5
684,17476,-28805.4,-11329.4
685,17439,-28768.1,-11329.1
686,17402.2,-28731.1,-11328.8
687,17368.7,-28697.3,-11328.6
688,17340.8,-28669.2,-11328.4
689,17319.9,-28648.3,-11328.4
690,17307.1,-28635.5,-11328.4
691,17301.9,-28630.4,-11328.5
692,17302.7,-28631.4,-11328.8
693,17307.1,-28636,-11328.9
694,17313.6,-28642.5,-11328.9
695,17322.1,-28651,-11328.9
696,17332.8,-28661.7,-11329
697,17345.3,-28674.4,-11329
698,17359.1,-28688.2,-11329.1
699,17373.7,-28702.9,-11329.2
700,17388.8,-28718,-11329.3
701,17403.9,-28733.2,-11329.3
702,17418.7,-28748.1,-11329.4
703,17432.9,-28762.4,-11329.5
704,17446.1,-28775.7,-11329.6
705,17458.3,-28787.9,-11329.6
706,17469.6,-28799.2,-11329.6
707,17480.8,-28810.4,-11329.6
708,17492.9,-28822.5,-11329.6
709,17507.4,-28837,-11329.5
710,17526.4,-28855.9,-11329.4
711,17552.8,-28882.1,-11329.3
712,17591,-28920,-11329
713,17649.7,-28977.7,-11328
714,17746.8,-29072.9,-11326.1
715,17910.6,-29237.2,-11326.6
716,18094.3,-29455.5,-11361.2
717,18016.1,-29392.9,-11376.9
718,17639.2,-28967.6,-11328.4
719,17250.3,-28574.8,-11324.5
720,16950.7,-28277.1,-11326.4
721,16714.1,-28041.9,-11327.8
722,16516.5,-27845.2,-11328.7
723,16343,-27672.2,-11329.2
724,16184.7,-27514.1,-11329.4
725,16037.8,-27367.1,-11329.4
726,15900.8,-27230.2,-11329.4
727,15773.2,-27102.5,-11329.3
728,15654.5,-26983.8,-11329.3
729,15544.6,-26873.8,-11329.3
730,15443.3,-26772.5,-11329.3
731,15350.5,-26679.7,-11329.3
732,15265.8,-26595.1,-11329.3
733,15188.3,-26517.8,-11329.5
734,15116.1,-26445.8,-11329.7
735,15046.4,-26376.4,-11330
736,14976.4,-26306.4,-11330
737,14905.7,-26235.4,-11329.7
738,14836.2,-26165.8,-11329.5
739,14770.7,-26100.1,-11329.4
740,14710.5,-26039.8,-11329.4
741,14656,-25985.3,-11329.3
742,14607.5,-25936.8,-11329.3
743,14564.8,-25894.1,-11329.4
744,14527.8,-25857.2,-11329.4
745,14496.4,-25825.8,-11329.4
746,14470.4,-25799.8,-11329.4
747,14449.8,-25779.2,-11329.4
748,14434.8,-25764.2,-11329.3
749,14426.2,-25755.5,-11329.3
